arXiv ID,Papers With Code ID,Title,Authors,Paper URL,Primary GitHub URL,GitHub Stars,Repository Source,Published Date
1810.10559,efficient-leave-one-out-cross-validation-for,Efficient leave-one-out cross-validation for Bayesian non-factorized normal and Student-t models,Paul-Christian Bürkner; Jonah Gabry; Aki Vehtari,https://arxiv.org/abs/1810.10559v5,https://github.com/paul-buerkner/psis-non-factorized-paper,4,PAPERS_WITH_CODE,2018-10-24T18:03:36+00:00
1609.06647,show-and-tell-lessons-learned-from-the-2015,Show and Tell: Lessons learned from the 2015 MSCOCO Image Captioning Challenge,Oriol Vinyals; Alexander Toshev; Samy Bengio; Dumitru Erhan,https://arxiv.org/abs/1609.06647v1,https://github.com/HughKu/Im2txt,99,PAPERS_WITH_CODE,2016-09-21T17:40:57+00:00
1711.03705,online-deep-learning-learning-deep-neural,Online Deep Learning: Learning Deep Neural Networks on the Fly,Doyen Sahoo; Quang Pham; Jing Lu; Steven C. H. Hoi,https://arxiv.org/abs/1711.03705v1,https://github.com/LIBOL/ODL,83,PAPERS_WITH_CODE,2017-11-10T05:54:14+00:00
2101.08393,distilling-interpretable-models-into-human,Distilling Interpretable Models into Human-Readable Code,Walker Ravina; Ethan Sterling; Olexiy Oryeshko; Nathan Bell; Honglei Zhuang; Xuanhui Wang; Yonghui Wu; Alexander Grushetsky,https://arxiv.org/abs/2101.08393v2,https://github.com/google/pwlfit,43,PAPERS_WITH_CODE,2021-01-21T01:46:36+00:00
1711.04043,few-shot-learning-with-graph-neural-networks,Few-Shot Learning with Graph Neural Networks,Victor Garcia; Joan Bruna,https://arxiv.org/abs/1711.04043v3,https://github.com/HoganZhang/few-shot-gnn,0,PAPERS_WITH_CODE,2017-11-10T23:32:47+00:00
1906.00133,190600133,ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands,Ziyu Jiang; Kate Von Ness; Julie Loisel; Zhangyang Wang,https://arxiv.org/abs/1906.00133v1,https://github.com/geekJZY/arcticnet,0,PAPERS_WITH_CODE,2019-06-01T02:40:47+00:00
1507.02672,semi-supervised-learning-with-ladder-networks,Semi-Supervised Learning with Ladder Networks,Antti Rasmus; Harri Valpola; Mikko Honkala; Mathias Berglund; Tapani Raiko,https://arxiv.org/abs/1507.02672v2,https://github.com/brandonrobertz/AcademicUrlTitles,0,PAPERS_WITH_CODE,2015-07-09T19:52:19+00:00
1706.07162,a-wavenet-for-speech-denoising,A Wavenet for Speech Denoising,Dario Rethage; Jordi Pons; Xavier Serra,https://arxiv.org/abs/1706.07162v3,https://github.com/francesclluis/source-separation-wavenet,0,PAPERS_WITH_CODE,2017-06-22T04:13:43+00:00
1711.10485,attngan-fine-grained-text-to-image-generation,AttnGAN: Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks,Tao Xu; Pengchuan Zhang; Qiuyuan Huang; Han Zhang; Zhe Gan; Xiaolei Huang; Xiaodong He,https://arxiv.org/abs/1711.10485v1,https://github.com/bprabhakar/text-to-image,0,PAPERS_WITH_CODE,2017-11-28T18:59:50+00:00
1710.10916,stackgan-realistic-image-synthesis-with,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,Han Zhang; Tao Xu; Hongsheng Li; Shaoting Zhang; Xiaogang Wang; Xiaolei Huang; Dimitris Metaxas,https://arxiv.org/abs/1710.10916v3,https://github.com/Maymaher/StackGANv2,0,PAPERS_WITH_CODE,2017-10-19T18:45:59+00:00
